ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
14586,Gfra2,glial cell line derived neurotrophic factor family receptor alpha 2,-1.804020014,4.715010404,-13.15621476,3.84E-09,1.16E-06,11.47650071
14299,Ncs1,neuronal calcium sensor 1,2.211196051,3.949093527,13.15007986,3.86E-09,1.16E-06,11.44721711
22339,Vegfa,vascular endothelial growth factor A,1.816801063,8.574430268,13.32717659,3.93E-09,1.16E-06,11.45079661
14313,Fst,follistatin,1.711946876,8.198275153,13.07680097,4.15E-09,1.20E-06,11.37563539
20296,Ccl2,chemokine (C-C motif) ligand 2,1.777293678,6.922195186,13.37990387,4.75E-09,1.35E-06,11.26372559
14113,Fbl,fibrillarin,1.586782542,6.084126074,12.74989717,5.72E-09,1.56E-06,11.04407795
140474,Muc4,mucin 4,6.445892947,-0.52461665,12.74896236,5.72E-09,1.56E-06,8.458566005
229595,Adamtsl4,ADAMTS-like 4,-1.964400826,5.153413016,-13.14168489,5.98E-09,1.60E-06,11.05904109
83554,Fstl3,follistatin-like 3,1.666129749,4.954131849,12.65995022,6.25E-09,1.64E-06,10.98656337
235036,Ppan,peter pan homolog,1.618745605,5.097583646,12.62016242,6.51E-09,1.68E-06,10.9421395
20135,Rrm2,ribonucleotide reductase M2,1.809546624,4.798441147,12.42258,7.94E-09,2.01E-06,10.75240399
53311,Mybph,myosin binding protein H,2.166785885,4.328873411,12.57807697,8.48E-09,2.11E-06,10.70743066
329739,Fam102b,"family with sequence similarity 102, member B",-1.491728772,5.40908238,-12.27693603,9.21E-09,2.25E-06,10.57328143
170770,Bbc3,BCL2 binding component 3,2.570787575,4.181393599,13.22253366,9.63E-09,2.32E-06,10.61285071
68828,Sync,syncoilin,-3.553641992,2.354206036,-12.39182212,1.02E-08,2.41E-06,10.18025383
71458,Bcor,BCL6 interacting corepressor,1.325729828,7.086740928,12.11123538,1.09E-08,2.54E-06,10.37342448
12266,C3,complement component 3,4.054888809,6.876381934,20.7491748,1.17E-08,2.68E-06,10.61570793
56615,Mgst1,microsomal glutathione S-transferase 1,1.370825049,6.593491673,12.03099783,1.19E-08,2.68E-06,10.28719629
208715,Hmgcs1,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1,-1.444033295,7.393995495,-12.01610857,1.21E-08,2.68E-06,10.27395454
68567,Cgref1,cell growth regulator with EF hand domain 1,3.075660808,2.503890054,11.97801814,1.26E-08,2.74E-06,10.06152737
74137,Nuak2,"NUAK family, SNF1-like kinase, 2",1.700128733,5.073829011,11.93266652,1.32E-08,2.83E-06,10.23356896
16770,Lalba,"lactalbumin, alpha",-1.570574762,4.810573935,-11.91671271,1.34E-08,2.84E-06,10.22035176
319909,Ism1,"isthmin 1, angiogenesis inhibitor",1.325113052,6.18156625,11.76787048,1.57E-08,3.24E-06,10.00922708
194126,Mtmr11,myotubularin related protein 11,-1.675599261,4.374097851,-11.76376125,1.57E-08,3.24E-06,10.07566079
23871,Ets1,"E26 avian leukemia oncogene 1, 5' domain",1.838247632,7.105904487,13.06485964,1.60E-08,3.24E-06,10.1193878
11535,Adm,adrenomedullin,1.401239013,5.401342336,11.71694123,1.66E-08,3.31E-06,9.983518003
16819,Lcn2,lipocalin 2,1.820523723,10.45943008,11.80293682,1.86E-08,3.67E-06,9.915949461
74134,Cyp2s1,"cytochrome P450, family 2, subfamily s, polypeptide 1",-2.044634883,4.077568063,-11.7290986,1.93E-08,3.74E-06,9.895348751
26897,Acot1,acyl-CoA thioesterase 1,2.202833632,4.411200319,12.23214884,2.08E-08,3.99E-06,9.860777386
26934,Racgap1,Rac GTPase-activating protein 1,2.538912536,2.89539922,11.46286326,2.18E-08,4.12E-06,9.682868234
20564,Slit3,slit guidance ligand 3,-1.304161188,7.262175484,-11.41227834,2.30E-08,4.29E-06,9.611448251
170459,Stard4,StAR-related lipid transfer (START) domain containing 4,-1.571740811,4.364906669,-11.39418276,2.35E-08,4.32E-06,9.676633566
12654,Chil1,chitinase-like 1,2.368920484,6.583589075,14.83253311,2.84E-08,5.16E-06,9.716916552
12173,Bnc1,basonuclin 1,1.889863331,4.138503289,11.18219315,2.96E-08,5.28E-06,9.456788252
59031,Chst12,carbohydrate sulfotransferase 12,-2.176181352,3.35095062,-11.17735393,2.98E-08,5.28E-06,9.446334744
12475,Cd14,CD14 antigen,1.680892196,4.121555751,11.12615796,3.15E-08,5.52E-06,9.393809527
68026,Pclaf,PCNA clamp associated factor,3.378636639,1.550648864,11.09852335,3.25E-08,5.58E-06,8.877722794
16590,Kit,KIT proto-oncogene receptor tyrosine kinase,3.728446797,1.291488228,11.09524281,3.26E-08,5.58E-06,8.708773176
60599,Trp53inp1,transformation related protein 53 inducible nuclear protein 1,-1.232895959,6.039330548,-11.03015352,3.51E-08,5.92E-06,9.180359698
20344,Selp,"selectin, platelet",1.488256669,5.391925626,10.96267357,3.78E-08,6.32E-06,9.143299249
14748,Gpr3,G-protein coupled receptor 3,1.195410295,6.419437184,10.94281805,3.87E-08,6.38E-06,9.076154598
21923,Tnc,tenascin C,-1.709209995,4.147120202,-10.9004079,4.06E-08,6.62E-06,9.136830312
20448,St6galnac4,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",1.719085506,3.833070715,10.85805361,4.26E-08,6.87E-06,9.10093135
68743,Anln,"anillin, actin binding protein",1.880793576,3.484902723,10.7787343,4.66E-08,7.43E-06,9.012334733
16980,Lrrn2,"leucine rich repeat protein 2, neuronal",-1.853871473,3.640486392,-10.76139635,4.76E-08,7.45E-06,8.993576702
66234,Msmo1,methylsterol monoxygenase 1,-2.014109971,4.940407551,-12.18000155,4.78E-08,7.45E-06,9.078428434
214685,Chadl,chondroadherin-like,2.310108209,5.603800466,13.65497239,4.83E-08,7.45E-06,9.167611014
12261,C1qbp,"complement component 1, q subcomponent binding protein",1.334712181,5.498338085,10.73501837,4.90E-08,7.48E-06,8.870091979
20271,Scn5a,"sodium channel, voltage-gated, type V, alpha",2.098404382,3.484351647,10.69528264,5.13E-08,7.70E-06,8.917842113
13139,Dgka,"diacylglycerol kinase, alpha",-1.329792273,5.765936079,-10.69098964,5.16E-08,7.70E-06,8.796683208
14585,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,2.303337729,2.663119712,10.67511563,5.25E-08,7.76E-06,8.835296467
74427,Eaf1,ELL associated factor 1,1.243632286,6.287215578,10.63196438,5.52E-08,8.01E-06,8.714373502
24088,Tlr2,toll-like receptor 2,1.685714275,7.086811544,11.8960803,5.53E-08,8.01E-06,8.867737362
65972,Ifi30,interferon gamma inducible protein 30,1.181931881,7.212475507,10.59846622,5.74E-08,8.13E-06,8.673395719
101612,Grwd1,glutamate-rich WD repeat containing 1,2.019981268,4.50737218,11.42497079,5.90E-08,8.13E-06,8.839403947
52040,Ppp1r10,"protein phosphatase 1, regulatory subunit 10",-1.82114309,7.398698843,-12.42984694,5.93E-08,8.13E-06,8.858653192
14115,Fbln2,fibulin 2,2.278522208,5.957640145,13.75383283,5.96E-08,8.13E-06,8.976273416
27273,Pdk4,"pyruvate dehydrogenase kinase, isoenzyme 4",1.376706919,8.967780416,10.5647837,5.96E-08,8.13E-06,8.678476954
74035,Nol9,nucleolar protein 9,1.473166652,5.16055804,10.55851703,6.01E-08,8.13E-06,8.68388291
72515,Wdr43,WD repeat domain 43,1.951907862,6.379056848,12.81878214,6.01E-08,8.13E-06,8.886507741
230863,Sh2d5,SH2 domain containing 5,1.947003971,4.239235393,10.87620203,6.09E-08,8.15E-06,8.767462133
68108,Snhg17,small nucleolar RNA host gene 17,1.60189839,4.205622957,10.48670885,6.53E-08,8.66E-06,8.660434175
14287,Fpgs,folylpolyglutamyl synthetase,1.437325969,5.1453955,10.46622287,6.69E-08,8.79E-06,8.574203749
22373,Wap,whey acidic protein,-1.70896073,8.47727448,-11.53178092,7.28E-08,9.48E-06,8.599424998
12550,Cdh1,cadherin 1,1.185435211,7.632146114,10.3184996,7.96E-08,1.03E-05,8.344287573
22354,Vipr1,vasoactive intestinal peptide receptor 1,-2.272874312,4.009261646,-11.48707898,8.15E-08,1.04E-05,8.559844378
404710,Iqgap3,IQ motif containing GTPase activating protein 3,3.065205617,1.782591758,10.29344653,8.20E-08,1.04E-05,8.201271602
104662,Tsr1,TSR1 20S rRNA accumulation,1.446114124,5.649964102,10.48244087,8.37E-08,1.05E-05,8.345043833
327900,Ubtd2,ubiquitin domain containing 2,1.293534705,5.099684284,10.26277228,8.50E-08,1.06E-05,8.32888811
20319,Sfrp2,secreted frizzled-related protein 2,3.405746381,3.008562242,11.97663431,8.56E-08,1.06E-05,8.402569056
237175,Adgrg2,adhesion G protein-coupled receptor G2,-2.115428373,2.862960519,-10.22184827,8.93E-08,1.08E-05,8.361978481
107272,Psat1,phosphoserine aminotransferase 1,1.351033007,6.681098984,10.42507488,8.94E-08,1.08E-05,8.244456382
226255,Atrnl1,attractin like 1,-1.12027026,6.217948225,-10.21714918,8.98E-08,1.08E-05,8.20715537
109731,Maob,monoamine oxidase B,2.794994474,3.256714436,11.32175865,9.18E-08,1.09E-05,8.399602485
12737,Cldn1,claudin 1,3.277673069,1.461629262,10.19012315,9.27E-08,1.10E-05,7.975237966
18432,Mybbp1a,MYB binding protein (P160) 1a,1.205467242,7.60026585,10.15639495,9.65E-08,1.13E-05,8.145030595
18003,Nedd9,"neural precursor cell expressed, developmentally down-regulated gene 9",1.150403095,7.855876731,10.12927674,9.97E-08,1.16E-05,8.117629711
319710,Frmd6,FERM domain containing 6,-1.341832613,8.763229998,-10.07441995,1.07E-07,1.23E-05,8.077184631
231801,Agfg2,ArfGAP with FG repeats 2,-1.453658408,4.456343659,-10.03734034,1.11E-07,1.25E-05,8.097212012
320685,Dctd,dCMP deaminase,2.37092659,2.247690805,10.0366048,1.11E-07,1.25E-05,8.07078314
23961,Oas1b,2'-5' oligoadenylate synthetase 1B,-1.768560956,3.459118841,-10.03612207,1.12E-07,1.25E-05,8.153133324
17215,Mcm3,minichromosome maintenance complex component 3,2.034555576,3.682904008,10.23259879,1.12E-07,1.25E-05,8.166136365
23790,Coro1c,"coronin, actin binding protein 1C",-1.17187735,6.16898781,-10.01664771,1.14E-07,1.27E-05,7.96053472
233406,Prc1,protein regulator of cytokinesis 1,1.741891217,3.539263054,9.967001974,1.21E-07,1.32E-05,8.07027276
52530,Nhp2,NHP2 ribonucleoprotein,1.587730995,4.291328972,9.965802775,1.21E-07,1.32E-05,8.030074108
66058,Tmem176a,transmembrane protein 176A,1.101546557,7.094516361,9.96357862,1.22E-07,1.32E-05,7.894848034
74754,Dhcr24,24-dehydrocholesterol reductase,-1.500148434,5.206294936,-10.25098693,1.24E-07,1.33E-05,7.978007282
108673,Ccdc86,coiled-coil domain containing 86,1.441094852,4.411441109,9.925732612,1.28E-07,1.34E-05,7.969474161
75590,Dusp9,dual specificity phosphatase 9,1.624906071,3.836302199,9.920182779,1.28E-07,1.34E-05,8.001741634
108897,Aif1l,allograft inflammatory factor 1-like,1.744150798,3.414057503,9.916767163,1.29E-07,1.34E-05,8.01231405
333654,Ppp1r13l,"protein phosphatase 1, regulatory subunit 13 like",1.168242578,5.763263631,9.915059,1.29E-07,1.34E-05,7.856725902
231713,Naa25,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",1.290209955,5.383724239,9.911010689,1.30E-07,1.34E-05,7.876661323
78748,Rassf10,Ras association (RalGDS/AF-6) domain family (N-terminal) member 10,2.137546701,3.3906914,10.07911318,1.34E-07,1.37E-05,7.997138915
16835,Ldlr,low density lipoprotein receptor,-1.221131652,8.460630078,-9.875963913,1.36E-07,1.38E-05,7.819246929
79362,Bhlhe41,"basic helix-loop-helix family, member e41",1.818315273,6.979822656,12.02788748,1.40E-07,1.42E-05,8.036275974
329628,Fat4,FAT atypical cadherin 4,-1.097424212,6.041405383,-9.825906844,1.44E-07,1.45E-05,7.723027797
16906,Lmnb1,lamin B1,1.834271097,5.1279106,11.16136718,1.48E-07,1.48E-05,7.948261695
12534,Cdk1,cyclin-dependent kinase 1,2.312416589,2.46516164,9.783294943,1.52E-07,1.50E-05,7.811853135
16763,Lad1,ladinin,2.11390137,2.726128236,9.78306259,1.52E-07,1.50E-05,7.837248888
12739,Cldn3,claudin 3,2.355055031,2.637917117,9.775130273,1.53E-07,1.50E-05,7.817134676
21973,Top2a,topoisomerase (DNA) II alpha,1.544382004,5.172475921,10.18129778,1.59E-07,1.54E-05,7.753775892
230126,Shb,src homology 2 domain-containing transforming protein B,1.329480741,5.904856375,9.908618507,1.63E-07,1.57E-05,7.640381032
66953,Cdca7,cell division cycle associated 7,1.764296027,3.55561172,9.722818489,1.64E-07,1.57E-05,7.772815056
213393,Depp1,DEPP1 autophagy regulator,1.62138804,4.058587617,9.71635588,1.65E-07,1.57E-05,7.737597057
208628,Kntc1,kinetochore associated 1,2.355009233,2.291525959,9.70814625,1.67E-07,1.58E-05,7.70306051
16852,Lgals1,"lectin, galactose binding, soluble 1",-1.592221274,8.152000823,-10.81475521,1.70E-07,1.60E-05,7.737288302
268977,Ltbp1,latent transforming growth factor beta binding protein 1,-1.201863329,5.407164494,-9.657632377,1.77E-07,1.66E-05,7.542883556
21819,Tg,thyroglobulin,5.184641318,-2.734413559,9.631362283,1.83E-07,1.70E-05,5.962621818
226245,Plekhs1,"pleckstrin homology domain containing, family S member 1",1.14575409,6.579523172,9.624402486,1.85E-07,1.70E-05,7.461332086
65256,Asb2,ankyrin repeat and SOCS box-containing 2,-1.06403431,6.485896435,-9.604837132,1.90E-07,1.73E-05,7.431523165
13641,Efnb1,ephrin B1,1.177185152,6.808509627,9.590974796,1.93E-07,1.75E-05,7.418446213
75580,Zbtb4,zinc finger and BTB domain containing 4,-1.132852132,6.416587746,-9.58586021,1.94E-07,1.75E-05,7.408045016
17127,Smad3,SMAD family member 3,1.077278709,6.467498413,9.582096256,1.95E-07,1.75E-05,7.406634923
263764,Creg2,cellular repressor of E1A-stimulated genes 2,5.119723133,-2.767988831,9.573873694,1.97E-07,1.76E-05,5.903268636
102098,Arhgef18,rho/rac guanine nucleotide exchange factor (GEF) 18,-1.292212999,5.416856057,-9.630137204,2.00E-07,1.77E-05,7.434094401
20539,Slc7a5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",1.10401067,7.870804959,9.550763086,2.03E-07,1.79E-05,7.38592659
217166,Nr1d1,"nuclear receptor subfamily 1, group D, member 1",2.31269408,6.416868699,13.43288012,2.06E-07,1.80E-05,7.815874833
71874,Mab21l4,mab-21-like 4,5.523130971,-1.779985882,9.516871495,2.12E-07,1.83E-05,6.064885931
18194,Nsdhl,NAD(P) dependent steroid dehydrogenase-like,-1.21294297,4.824114003,-9.515582938,2.12E-07,1.83E-05,7.406027572
226251,Ablim1,actin-binding LIM protein 1,-1.093351507,5.899994569,-9.500406515,2.16E-07,1.86E-05,7.309992514
13731,Emp2,epithelial membrane protein 2,-1.099138163,7.878386666,-9.496010001,2.17E-07,1.86E-05,7.313131009
67619,Nob1,NIN1/RPN12 binding protein 1 homolog,1.269327834,4.95161144,9.488310059,2.19E-07,1.86E-05,7.368978911
17931,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",-1.32873065,9.106675166,-9.538361202,2.24E-07,1.88E-05,7.337602439
69573,Hilpda,hypoxia inducible lipid droplet associated,1.615834098,4.618336792,9.802712305,2.25E-07,1.88E-05,7.428542026
240505,Cdc42bpg,CDC42 binding protein kinase gamma (DMPK-like),-1.147089239,7.486766362,-9.466095031,2.26E-07,1.88E-05,7.262996255
77552,Shisa4,shisa family member 4,-1.40833649,4.653267229,-9.463742373,2.26E-07,1.88E-05,7.357589146
107769,Tm6sf1,transmembrane 6 superfamily member 1,-2.18570197,2.694609026,-9.448556402,2.31E-07,1.89E-05,7.437602031
12428,Ccna2,cyclin A2,2.183791416,2.375357396,9.448136068,2.31E-07,1.89E-05,7.410696053
217946,Cdca7l,cell division cycle associated 7 like,1.427302228,4.07155642,9.424090315,2.38E-07,1.93E-05,7.363834038
18008,Nes,nestin,1.660133235,4.106012187,9.54262478,2.39E-07,1.93E-05,7.378770809
235542,Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha",-1.080304358,6.571756804,-9.415527044,2.41E-07,1.93E-05,7.184639591
18591,Pdgfb,"platelet derived growth factor, B polypeptide",1.244314047,6.59058426,9.583270804,2.42E-07,1.93E-05,7.213301126
12833,Col6a1,"collagen, type VI, alpha 1",-2.587102676,7.491129644,-14.45661989,2.43E-07,1.93E-05,7.726873371
240672,Dusp5,dual specificity phosphatase 5,1.116570766,7.192951046,9.403248278,2.44E-07,1.93E-05,7.177252813
16531,Kcnma1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",-1.026500705,6.293900538,-9.400913631,2.45E-07,1.93E-05,7.16744254
232431,Gprc5a,"G protein-coupled receptor, family C, group 5, member A",1.517828911,3.686702325,9.38725593,2.49E-07,1.95E-05,7.344013213
328162,Trmt61a,tRNA methyltransferase 61A,1.768117114,3.366123587,9.383586008,2.51E-07,1.95E-05,7.356552679
72309,Tmem158,transmembrane protein 158,1.110384645,5.492561072,9.368186114,2.56E-07,1.98E-05,7.169032156
12985,Csf3,colony stimulating factor 3 (granulocyte),1.772335002,6.388138978,11.48634245,2.65E-07,2.04E-05,7.403726517
12023,Barx2,BarH-like homeobox 2,-1.972051356,2.837134004,-9.325336466,2.70E-07,2.07E-05,7.289554787
72119,Tpx2,"TPX2, microtubule-associated",2.525409552,2.821985599,9.751619168,2.79E-07,2.13E-05,7.285838467
211945,Plekhh1,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1",2.390612557,2.623277612,9.400390193,2.88E-07,2.14E-05,7.223566016
17216,Mcm2,minichromosome maintenance complex component 2,2.143420174,3.100455453,9.43843253,2.89E-07,2.14E-05,7.238556413
71819,Kif23,kinesin family member 23,2.792816009,2.41863315,9.660844388,2.90E-07,2.14E-05,7.201854957
16190,Il4ra,"interleukin 4 receptor, alpha",1.035775664,6.388972403,9.268937983,2.90E-07,2.14E-05,6.99649644
18616,Peg3,paternally expressed 3,-1.06878985,5.446046909,-9.267320288,2.91E-07,2.14E-05,7.029084804
320253,Marchf3,membrane associated ring-CH-type finger 3,1.453656055,4.56448986,9.328458561,2.91E-07,2.14E-05,7.127637651
17476,Mpeg1,macrophage expressed gene 1,4.230945335,-0.226271424,9.265169951,2.92E-07,2.14E-05,6.178223382
22704,Zfp46,zinc finger protein 46,-1.017303401,7.25937518,-9.241751194,3.00E-07,2.19E-05,6.960949435
68275,Rpa1,replication protein A1,-1.039059767,6.205027759,-9.239636443,3.01E-07,2.19E-05,6.955806696
330192,Vps37b,vacuolar protein sorting 37B,1.221742463,4.596074039,9.215903668,3.11E-07,2.25E-05,7.043747992
27999,Fam3c,"family with sequence similarity 3, member C",1.122692601,5.949772752,9.210404973,3.13E-07,2.25E-05,6.934188972
18111,Nnat,neuronatin,1.122719061,5.630758599,9.2057231,3.15E-07,2.25E-05,6.945729145
211064,Alkbh1,"alkB homolog 1, histone H2A dioxygenase",1.492701772,3.880417948,9.204992668,3.15E-07,2.25E-05,7.096337334
67223,Rrp15,ribosomal RNA processing 15 homolog,1.52553871,4.227755749,9.196564903,3.18E-07,2.26E-05,7.058058113
13723,Emb,embigin,1.044166268,5.916779541,9.180469029,3.25E-07,2.29E-05,6.894048241
56636,Fgf21,fibroblast growth factor 21,5.150701434,-0.438242396,9.184633613,3.27E-07,2.30E-05,5.888414697
98682,Mfsd6,major facilitator superfamily domain containing 6,-1.044593398,5.742012348,-9.172230503,3.29E-07,2.30E-05,6.88376808
52033,Pbk,PDZ binding kinase,3.03563679,1.824732455,9.329394279,3.32E-07,2.30E-05,6.966445178
80914,Uck2,uridine-cytidine kinase 2,1.147214994,5.59957568,9.163824303,3.32E-07,2.30E-05,6.892470694
228359,Arhgap1,Rho GTPase activating protein 1,-1.250895964,8.374113849,-9.277953012,3.36E-07,2.30E-05,6.90327462
223473,Nipal2,NIPA-like domain containing 2,-1.503487352,5.99919334,-10.35195857,3.36E-07,2.30E-05,7.047572124
19659,Rbp1,"retinol binding protein 1, cellular",1.009463933,6.602489221,9.122391906,3.51E-07,2.39E-05,6.798353966
17762,Mapt,microtubule-associated protein tau,-1.11325643,5.350357115,-9.114538207,3.54E-07,2.40E-05,6.833260599
16525,Kcnk1,"potassium channel, subfamily K, member 1",1.039388818,6.161491519,9.095989708,3.63E-07,2.43E-05,6.770531941
20350,Sema3f,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",-1.109506711,6.179946453,-9.091324261,3.65E-07,2.43E-05,6.758620605
72565,Uaca,uveal autoantigen with coiled-coil domains and ankyrin repeats,-1.106013702,6.35468686,-9.089501532,3.66E-07,2.43E-05,6.752766612
50918,Myadm,myeloid-associated differentiation marker,-1.733593627,7.904289113,-11.10922967,3.68E-07,2.43E-05,7.069976702
16658,Mafb,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)",1.05443075,5.566991575,9.084175442,3.68E-07,2.43E-05,6.785433512
72462,Rrp1b,ribosomal RNA processing 1B,1.505678587,4.723885724,9.368509336,3.69E-07,2.43E-05,6.908596286
18973,Pole,"polymerase (DNA directed), epsilon",2.13327343,2.977943319,9.218429433,3.70E-07,2.43E-05,6.99465263
232016,Itprid1,ITPR interacting domain containing 1,-2.568225899,6.039980564,-13.81466582,3.71E-07,2.43E-05,7.309627229
17219,Mcm6,minichromosome maintenance complex component 6,1.995433219,3.999557994,9.987577881,3.79E-07,2.44E-05,7.03077935
19092,Prkg2,"protein kinase, cGMP-dependent, type II",-1.942837628,2.508177591,-9.062364087,3.79E-07,2.44E-05,6.953298025
73673,Rec114,REC114 meiotic recombination protein,-2.446917328,1.771840256,-9.062261393,3.79E-07,2.44E-05,6.879527368
353211,Prune2,prune homolog 2,-1.304296642,4.145239466,-9.049431602,3.86E-07,2.47E-05,6.86016313
